City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,savonlinna,61.8699,28.88,275.18,60,0,0.51,FI,1681150799
131,san cristobal,7.7669,-72.225,299.25,41,56,3.86,VE,1681150536
132,avarua,-21.2078,-159.775,298.18,78,20,3.09,CK,1681150524
133,hithadhoo,-0.6,73.0833,301.43,66,8,1.82,MV,1681150799
134,jacareacanga,-6.2222,-57.7528,298.01,96,100,1.09,BR,1681150799
135,chokurdakh,70.6333,147.9167,247.8,94,100,2.94,RU,1681150800
136,mar del plata,-38.0023,-57.5575,289.23,72,100,7.72,AR,1681150800
137,airai,-8.9266,125.4092,288.48,95,84,1.04,TL,1681150801
138,polovinnoye,54.7914,65.9864,274.27,47,81,3.99,RU,1681150801
139,liverpool,53.4106,-2.9779,283.57,76,75,9.77,GB,1681150802
140,san matias,-16.3667,-58.4,300.2,77,88,2.3,BO,1681150802
141,ahuimanu,21.4447,-157.8378,298.99,78,20,5.14,US,1681150803
142,saldanha,-33.0117,17.9442,287.18,72,0,4.7,ZA,1681150787
143,tasiilaq,65.6145,-37.6368,275.24,96,100,8.01,GL,1681150804
144,nanortalik,60.1432,-45.2371,275.08,90,100,3.35,GL,1681150804
145,port elizabeth,-33.918,25.5701,289.87,68,20,10.8,ZA,1681150805
146,hasaki,35.7333,140.8333,288.37,70,51,10.27,JP,1681150806
147,kapuskasing,49.4169,-82.4331,288.2,46,20,6.69,CA,1681150806
148,balad,34.0164,44.1453,300.28,20,100,5.09,IQ,1681150807
149,klaksvik,62.2266,-6.589,280.66,97,100,1.08,FO,1681150808
150,mahibadhoo,3.7833,72.9667,302.26,71,46,4.36,MV,1681150808
151,cairns,-16.9167,145.7667,298.74,97,75,0.0,AU,1681150809
152,vaini,-21.2,-175.2,298.24,94,20,2.57,TO,1681150810
153,upernavik,72.7868,-56.1549,256.79,94,100,7.84,GL,1681150810
154,manzini,-26.25,31.5,293.27,68,100,2.45,SZ,1681150811
155,abong mbang,3.9833,13.1833,296.17,82,99,1.75,CM,1681150812
156,bambous virieux,-20.3428,57.7575,298.27,100,75,2.57,MU,1681150813
157,boksitogorsk,59.474,33.8485,277.8,87,4,1.78,RU,1681150814
158,bengkulu,-3.8004,102.2655,297.32,89,85,1.55,ID,1681150815
159,vao,-22.6667,167.4833,298.66,79,0,2.9,NC,1681150817
160,batagay-alyta,67.8006,130.4114,244.57,99,96,2.4,RU,1681150818
161,kultuk,51.7208,103.6956,262.35,89,44,2.16,RU,1681150819
162,fianarantsoa,-21.4333,47.0833,289.35,97,29,1.44,MG,1681150822
163,khatanga,71.9667,102.5,251.49,100,100,1.78,RU,1681150823
164,amalapuram,16.5833,82.0167,298.5,78,0,1.0,IN,1681150826
165,vrangel,42.7297,133.0839,277.92,90,88,3.05,RU,1681150827
166,muros,42.7762,-9.0603,289.31,90,100,2.15,ES,1681150829
167,grajau,-5.8194,-46.1386,298.79,91,84,0.62,BR,1681150591
168,nantucket,41.2835,-70.0995,287.23,58,0,7.2,US,1681150680
169,kalmunai,7.4167,81.8167,300.53,73,4,3.13,LK,1681150830
170,lida,53.8833,25.2997,285.87,60,91,1.21,BY,1681150831
171,broken hill,-31.95,141.4333,285.35,57,0,2.12,AU,1681150832
172,acapulco,16.8634,-99.8901,304.05,58,0,3.6,MX,1681150692
173,samarai,-10.6167,150.6667,300.24,82,100,2.31,PG,1681150834
174,sioux lookout,50.1001,-91.917,285.19,40,75,5.14,CA,1681150835
175,alofi,-19.0595,-169.9187,298.09,94,75,4.12,NU,1681150836
176,kamaishi,39.2667,141.8833,282.85,63,60,2.86,JP,1681150836
177,tezu,27.9167,96.1667,296.14,45,78,2.69,IN,1681150837
178,lampa,-33.2833,-70.9,303.19,17,0,3.09,CL,1681150837
179,saint-georges,12.0564,-61.7485,302.97,70,20,11.83,GD,1681150837
180,iqaluit,63.7506,-68.5145,255.0,78,40,2.06,CA,1681150838
181,bure,10.7,37.0667,295.11,30,85,2.07,ET,1681150838
182,kruisfontein,-34.0033,24.7314,288.64,66,45,12.51,ZA,1681150838
183,hirschaid,49.8194,10.9908,285.92,67,97,3.08,DE,1681150839
184,chandbali,20.7833,86.7667,302.21,54,0,4.91,IN,1681150839
185,cabo san lucas,22.8909,-109.9124,305.76,23,75,4.63,MX,1681150644
186,salina cruz,16.1667,-95.2,306.31,41,51,10.36,MX,1681150840
187,leshukonskoye,64.8989,45.7622,272.33,92,100,3.8,RU,1681150840
188,dicabisagan,17.0818,122.4157,296.78,88,99,2.08,PH,1681150841
189,ponta do sol,32.6667,-17.1,296.55,53,0,3.17,PT,1681150842
190,ler,8.3018,30.1418,305.94,33,88,0.89,SS,1681150842
191,tarko-sale,64.9225,77.785,258.28,94,100,8.55,RU,1681150842
192,carnarvon,-24.8667,113.6333,295.25,71,11,8.95,AU,1681150842
193,meulaboh,4.1363,96.1285,298.05,89,89,1.58,ID,1681150843
194,gizo,-8.103,156.8419,300.72,76,98,2.97,SB,1681150843
195,kuznechnoye,61.12,29.8686,274.26,86,68,1.42,RU,1681150831
196,kahului,20.8947,-156.47,297.58,71,20,7.72,US,1681150844
197,vila velha,-20.3297,-40.2925,300.12,50,0,6.69,BR,1681150844
198,tiksi,71.6872,128.8694,244.44,100,81,1.32,RU,1681150845
199,bairiki,1.3292,172.9752,299.15,94,75,0.51,KI,1681150845
200,bethel,41.3712,-73.414,292.24,22,0,2.06,US,1681150716
201,karasburg,-28.0167,18.75,288.67,26,0,3.32,NA,1681150846
202,grindavik,63.8424,-22.4338,279.41,75,75,3.09,IS,1681150846
203,bodden town,19.2833,-81.25,302.15,61,20,3.09,KY,1681150847
204,yulara,-25.2406,130.9889,297.6,32,57,3.99,AU,1681150847
205,namatanai,-3.6667,152.4333,298.2,88,100,2.05,PG,1681150847
206,leningradskiy,69.3833,178.4167,247.28,93,100,2.96,RU,1681150847
207,kurchum,48.5722,83.6542,276.82,52,91,2.89,KZ,1681150848
208,kindersley,51.4668,-109.1682,280.16,57,75,2.06,CA,1681150848
209,lagoa,39.05,-27.9833,288.91,79,74,5.39,PT,1681150849
210,port alfred,-33.5906,26.891,288.81,63,1,4.92,ZA,1681150849
211,hofn,64.2539,-15.2082,278.16,93,100,2.57,IS,1681150849
212,koumac,-20.5667,164.2833,297.45,73,1,1.06,NC,1681150850
213,avera,33.194,-82.5271,290.88,36,100,6.37,US,1681150850
214,acarau,-2.8856,-40.12,299.12,86,100,5.22,BR,1681150850
215,machali,-34.1833,-70.6667,299.75,26,0,3.6,CL,1681150851
216,sandpoint,48.2766,-116.5533,285.05,94,100,0.0,US,1681150851
217,santa rosa,14.3122,121.1114,300.43,78,97,3.28,PH,1681150683
218,nikolskoye,59.7035,30.7861,279.71,88,87,1.83,RU,1681150852
219,narsaq,60.9167,-46.05,282.27,79,100,1.87,GL,1681150852
220,rincon,32.296,-81.2354,294.13,40,75,6.69,US,1681150852
221,vanderhoof,54.0166,-124.0198,278.69,54,73,1.49,CA,1681150853
222,isiro,2.7739,27.616,296.27,66,78,0.74,CD,1681150853
223,el rusio,14.4667,-86.3667,305.01,26,8,2.82,HN,1681150853
224,porbandar,21.6422,69.6093,298.77,64,95,3.85,IN,1681150853
225,beloha,-25.1667,45.05,296.49,84,0,3.46,MG,1681150854
226,namanga,-2.5433,36.7905,294.81,66,56,4.18,KE,1681150854
227,busayra,30.7376,35.6078,288.05,73,100,2.83,JO,1681150854
228,zachepylivka,49.1939,35.2394,284.42,57,99,4.39,UA,1681150855
229,gat,31.61,34.7642,295.27,100,93,7.26,IL,1681150855
230,chulym,55.0997,80.9572,275.75,67,30,5.35,RU,1681150856
231,carballo,43.213,-8.691,289.21,91,100,1.95,ES,1681150856
232,villa bruzual,9.3328,-69.1208,306.91,38,62,3.49,VE,1681150856
233,norsup,-16.0667,167.3833,300.49,83,49,4.58,VU,1681150857
234,pangnirtung,66.1451,-65.7125,256.15,78,0,3.09,CA,1681150857
235,painesville,41.7245,-81.2457,293.86,36,0,2.06,US,1681150740
236,sinnar,13.5691,33.5672,309.59,10,7,3.88,SD,1681150858
237,aviles,43.5547,-5.9248,290.32,81,75,4.63,ES,1681150858
238,altay,47.8667,88.1167,272.98,49,26,3.79,CN,1681150859
239,lasa,46.6166,10.7002,286.64,68,92,0.48,IT,1681150859
240,moron,-34.6534,-58.6198,301.93,49,74,2.8,AR,1681150859
241,okato,-39.2,173.8833,290.47,95,34,5.36,NZ,1681150860
242,saint anthony,45.0205,-93.218,293.21,35,0,4.12,US,1681150860
243,hammerfest,70.6634,23.6821,276.4,81,75,4.12,NO,1681150860
244,manggar,-2.8833,108.2667,299.24,81,100,2.97,ID,1681150860
245,bowen,-20.0167,148.2333,296.0,78,19,2.31,AU,1681150861
246,rocha,-34.4833,-54.3333,299.04,48,7,3.97,UY,1681150861
247,luang prabang,19.8856,102.1347,297.65,45,4,0.64,LA,1681150862
248,porto seguro,-16.4497,-39.0647,300.44,78,75,4.12,BR,1681150862
